"","Method","Model","Intercept","Slope","J0","JA","N","Correlation","Power","FWERS","CorMat_Error","No_simulations"
"287","mmm","glm",0.1,0.125,"2","8",400,0.5,0.9841,0.0098,0,10000
"288","mmm","glm",0.1,0.125,"2","8",400,0.9,0.9311,0.0162,0,10000
"289","mmm","glm",0.1,0.15,"2","8",400,0,1,0.0082,0,10000
"290","mmm","glm",0.1,0.15,"2","8",400,0.5,0.9997,0.0101,0,10000
"291","mmm","glm",0.1,0.15,"2","8",400,0.9,0.9927,0.0147,0,10000
"292","mmm","glm",0.1,0.175,"2","8",400,0,1,0.0074,0,10000
"293","mmm","glm",0.1,0.175,"2","8",400,0.5,1,0.0085,0,10000
"294","mmm","glm",0.1,0.175,"2","8",400,0.9,0.9993,0.0132,0,10000
"295","mmm","glm",0.1,0.2,"2","8",400,0,1,0.0079,0,10000
"296","mmm","glm",0.1,0.2,"2","8",400,0.5,1,0.0102,0,10000
"297","mmm","glm",0.1,0.2,"2","8",400,0.9,1,0.0135,0,10000
"298","mmm","glm",0.1,0.001,"8","2",400,0,0.0081,0.0279,0,10000
"299","mmm","glm",0.1,0.001,"8","2",400,0.5,0.0092,0.0311,0,10000
"300","mmm","glm",0.1,0.001,"8","2",400,0.9,0.0159,0.0305,0,10000
"301","mmm","glm",0.1,0.025,"8","2",400,0,0.0269,0.0286,0,10000
"302","mmm","glm",0.1,0.025,"8","2",400,0.5,0.0301,0.0316,0,10000
"303","mmm","glm",0.1,0.025,"8","2",400,0.9,0.0406,0.0282,0,10000
"304","mmm","glm",0.1,0.05,"8","2",400,0,0.1109,0.0299,0,10000
"305","mmm","glm",0.1,0.05,"8","2",400,0.5,0.1131,0.0312,0,10000
"306","mmm","glm",0.1,0.05,"8","2",400,0.9,0.1281,0.0316,0,10000
"307","mmm","glm",0.1,0.075,"8","2",400,0,0.3426,0.0296,0,10000
"308","mmm","glm",0.1,0.075,"8","2",400,0.5,0.3357,0.0302,0,10000
"309","mmm","glm",0.1,0.075,"8","2",400,0.9,0.3419,0.0298,0,10000
"310","mmm","glm",0.1,0.1,"8","2",400,0,0.7118,0.0284,0,10000
"311","mmm","glm",0.1,0.1,"8","2",400,0.5,0.6552,0.0304,0,10000
"312","mmm","glm",0.1,0.1,"8","2",400,0.9,0.6494,0.0295,0,10000
"313","mmm","glm",0.1,0.125,"8","2",400,0,0.9439,0.0259,0,10000
"314","mmm","glm",0.1,0.125,"8","2",400,0.5,0.907,0.0333,0,10000
"315","mmm","glm",0.1,0.125,"8","2",400,0.9,0.8867,0.0254,0,10000
"316","mmm","glm",0.1,0.15,"8","2",400,0,0.9968,0.031,0,10000
