"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,25,0.1,8,2,0.001,0.9,0,0,21,10,157,10,7,3
"bt","bglm",167,50,0.1,8,2,0.001,0.9,0,0,15,5,162,4,4,0
"bt","bglm",167,100,0.1,8,2,0.001,0.9,0,0,32,9,158,9,7,2
"bt","bglm",167,25,0.1,2,8,0.001,0.9,0,0,11,7,160,17,7,1
"bt","bglm",167,50,0.1,2,8,0.001,0.9,0,0,6,4,163,16,6,1
"bt","bglm",167,100,0.1,2,8,0.001,0.9,0,0,0,0,167,9,5,0
"bt","bglm",167,25,0.1,8,2,0.025,0.9,0,0,12,5,162,9,5,4
"bt","bglm",167,50,0.1,8,2,0.025,0.9,0,0,36,11,156,10,6,4
"bt","bglm",167,100,0.1,8,2,0.025,0.9,0,0,43,13,154,19,12,7
"bt","bglm",167,25,0.1,2,8,0.025,0.9,0,0,1,1,166,38,10,2
"bt","bglm",167,50,0.1,2,8,0.025,0.9,0,0,4,3,164,22,7,0
"bt","bglm",167,100,0.1,2,8,0.025,0.9,0,0,0,0,167,60,17,1
"bt","bglm",167,25,0.1,8,2,0.05,0.9,0,0,21,6,161,20,14,6
"bt","bglm",167,50,0.1,8,2,0.05,0.9,0,0,31,10,157,6,4,2
"bt","bglm",167,100,0.1,8,2,0.05,0.9,0,0,12,5,162,33,21,12
"bt","bglm",167,25,0.1,2,8,0.05,0.9,0,0,6,5,162,60,14,2
"bt","bglm",167,50,0.1,2,8,0.05,0.9,0,0,0,0,167,87,25,3
"bt","bglm",167,100,0.1,2,8,0.05,0.9,0,0,9,6,161,141,39,5
"bt","bglm",167,25,0.1,8,2,0.075,0.9,0,0,11,3,164,26,19,7
"bt","bglm",167,50,0.1,8,2,0.075,0.9,0,0,14,4,163,54,34,20
"bt","bglm",167,100,0.1,8,2,0.075,0.9,0,0,29,8,159,105,64,41
"bt","bglm",167,25,0.1,2,8,0.075,0.9,0,0,6,5,162,169,36,10
"bt","bglm",167,50,0.1,2,8,0.075,0.9,0,0,3,2,165,215,50,13
