"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"294","bt","glm",1000,25,0.9,0,0,82,54,946,0,0,0,234
"295","bonf","bglm",1000,25,0.9,0,0,6,4,996,0,0,0,235
"296","bt","bglm",1000,25,0.9,0,0,57,43,957,0,0,0,236
"297","bonf","glm",1000,50,0.9,0,0,18,15,985,0,0,0,237
"298","bt","glm",1000,50,0.9,0,0,58,39,961,0,0,0,238
"299","bonf","bglm",1000,50,0.9,0,0,23,15,985,0,0,0,239
"300","bt","bglm",1000,50,0.9,0,0,43,29,971,0,0,0,240
"301","mmm","glm",10000,25,0,0,4287,42,42,5671,0,0,0,241
"302","mmm","glm",10000,50,0,0,5532,87,87,4381,0,0,0,242
"303","mmm","glm",10000,25,0.5,0,3796,52,52,6152,0,0,0,243
"304","mmm","glm",10000,50,0.5,0,4923,126,119,4958,0,0,0,244
"305","mmm","glm",10000,25,0.9,0,2840,129,91,7069,0,0,0,245
"306","mmm","glm",10000,50,0.9,0,3892,148,104,6004,0,0,0,246
