"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"bt","bglm",50,0,10000,0.0212,0.02,0.98,0.5641,0.4266,0,1,0,"h02_04_ha8_01_s03",200,0
"bt","bglm",50,0.5,10000,0.025,0.0234,0.9766,0.6039,0.3048,0,1,0,"h02_04_ha8_01_s03",200,0.5
"bt","bglm",50,0.9,10000,0.0392,0.0273,0.9727,0.9015,0.2113,0,1,0,"h02_04_ha8_01_s03",200,0.9
"bt","glm",25,0,10000,0.0433,0.0385,0.9615,0.0475,0.0463,0,1,0,"h02_04_ha8_01_s03",100,0
"bt","glm",25,0.5,10000,0.0448,0.0375,0.9625,0.0458,0.0356,0,1,0,"h02_04_ha8_01_s03",100,0.5
"bt","glm",25,0.9,10000,0.0634,0.0407,0.9593,0.0945,0.0255,0,1,0,"h02_04_ha8_01_s03",100,0.9
"bt","glm",50,0,10000,0.0258,0.0244,0.9756,0.3849,0.3201,0,1,0,"h02_04_ha8_01_s03",200,0
"bt","glm",50,0.5,10000,0.0314,0.0273,0.9727,0.4394,0.2451,0,1,0,"h02_04_ha8_01_s03",200,0.5
"bt","glm",50,0.9,10000,0.0495,0.0334,0.9666,0.682,0.1697,0,1,0,"h02_04_ha8_01_s03",200,0.9
"mmm","bglm",25,0,10000,0.0031,0.0029,0.9971,0.0139,0.0138,0,1,0,"h02_04_ha8_01_s03",100,0
"mmm","bglm",25,0.5,10000,0.0038,0.0038,0.9962,0.0187,0.0158,0,1,0,"h02_04_ha8_01_s03",100,0.5
"mmm","bglm",25,0.9,10000,0.0119,0.009,0.991,0.0684,0.0211,0,1,0,"h02_04_ha8_01_s03",100,0.9
"mmm","bglm",50,0,10000,0.0065,0.0062,0.9938,0.1674,0.1538,0,1,0,"h02_04_ha8_01_s03",200,0
"mmm","bglm",50,0.5,10000,0.007,0.0065,0.9935,0.2067,0.1297,0,1,0,"h02_04_ha8_01_s03",200,0.5
"mmm","bglm",50,0.9,10000,0.0199,0.0133,0.9867,0.4409,0.1167,0,1,0,"h02_04_ha8_01_s03",200,0.9
"mmm","glm",25,0,10000,0.0039,0.0038,0.8124,0.0015,0.0015,0,0.1838,0,"h02_04_ha8_01_s03",100,0
"mmm","glm",25,0.5,10000,0.0056,0.0054,0.8453,7e-04,7e-04,0,0.1493,0,"h02_04_ha8_01_s03",100,0.5
"mmm","glm",25,0.9,10000,0.0137,0.0098,0.892,0.009,0.0024,1e-04,0.0982,0,"h02_04_ha8_01_s03",100,0.9
"mmm","glm",50,0,10000,0.0099,0.0094,0.9714,0.0806,0.0774,0,0.0192,0,"h02_04_ha8_01_s03",200,0
