"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"305","bt","bglm",209,0.375,10,50,0.9,0,0,9,40
"306","bt","bglm",209,0.5,10,50,0.9,0,0,8,19
"307","bt","bglm",209,0.01,3,100,0.9,0,0,10,25
"308","bt","bglm",209,0.0625,3,100,0.9,0,0,6,12
"309","bt","bglm",209,0.125,3,100,0.9,0,0,18,30
"310","bt","bglm",209,0.25,3,100,0.9,0,0,14,26
"311","bt","bglm",209,0.375,3,100,0.9,0,0,11,24
"312","bt","bglm",209,0.5,3,100,0.9,0,0,14,19
"313","bt","bglm",209,0.01,5,100,0.9,0,0,7,21
"314","bt","bglm",209,0.0625,5,100,0.9,0,0,9,15
"315","bt","bglm",209,0.125,5,100,0.9,0,0,6,16
"316","bt","bglm",209,0.25,5,100,0.9,0,0,6,14
"317","bt","bglm",209,0.375,5,100,0.9,0,0,7,17
"318","bt","bglm",209,0.5,5,100,0.9,0,0,11,30
"319","bt","bglm",209,0.01,10,100,0.9,0,0,14,67
"320","bt","bglm",209,0.0625,10,100,0.9,0,0,10,26
"321","bt","bglm",209,0.125,10,100,0.9,0,0,8,16
"322","bt","bglm",209,0.25,10,100,0.9,0,0,9,34
"323","bt","bglm",209,0.375,10,100,0.9,0,0,11,33
"324","bt","bglm",209,0.5,10,100,0.9,0,0,10,43
"325","bt","bglm",209,0.01,3,25,0,0,0,7,7
"326","bt","bglm",209,0.0625,3,25,0,0,0,11,11
"327","bt","bglm",209,0.125,3,25,0,0,0,12,12
"328","bt","bglm",209,0.25,3,25,0,0,0,14,15
"329","bt","bglm",209,0.375,3,25,0,0,0,10,10
"330","bt","bglm",209,0.5,3,25,0,0,0,5,5
"331","bt","bglm",209,0.01,5,25,0,0,0,6,6
"332","bt","bglm",209,0.0625,5,25,0,0,0,7,7
"333","bt","bglm",209,0.125,5,25,0,0,0,12,12
"334","bt","bglm",209,0.25,5,25,0,0,0,12,13
"335","bt","bglm",209,0.375,5,25,0,0,0,12,12
"336","bt","bglm",209,0.5,5,25,0,0,0,10,11
"337","bt","bglm",209,0.01,10,25,0,0,0,6,6
"338","bt","bglm",209,0.0625,10,25,0,0,0,9,9
"339","bt","bglm",209,0.125,10,25,0,0,0,10,10
"340","bt","bglm",209,0.25,10,25,0,0,0,9,9
