"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","glm",10000,50,0.1,2,8,0.1,0.9,0,0,158,120,9880,22236,4409,1361
"mmm","glm",10000,100,0.1,2,8,0.1,0.9,0,0,195,143,9857,46578,7486,3961
"mmm","glm",10000,25,0.1,8,2,0.125,0.9,0,4,368,120,9876,4358,2663,1695
"mmm","glm",10000,50,0.1,8,2,0.125,0.9,0,0,679,222,9778,9834,5618,4216
"mmm","glm",10000,100,0.1,8,2,0.125,0.9,0,0,751,254,9746,16913,8867,8046
"mmm","glm",10000,25,0.1,2,8,0.125,0.9,0,3,72,54,9943,16869,3486,896
"mmm","glm",10000,50,0.1,2,8,0.125,0.9,0,0,154,110,9890,39124,6617,3041
"mmm","glm",10000,100,0.1,2,8,0.125,0.9,0,0,218,162,9838,67522,9311,7147
"mmm","glm",10000,25,0.1,8,2,0.15,0.9,0,9,387,120,9871,7400,4361,3039
"mmm","glm",10000,50,0.1,8,2,0.15,0.9,0,0,697,240,9760,14713,7939,6774
"mmm","glm",10000,100,0.1,8,2,0.15,0.9,0,0,829,295,9705,19427,9828,9599
"mmm","glm",10000,25,0.1,2,8,0.15,0.9,0,3,83,62,9935,28854,5266,1976
"mmm","glm",10000,50,0.1,2,8,0.15,0.9,0,0,151,115,9885,57899,8551,5536
"mmm","glm",10000,100,0.1,2,8,0.15,0.9,0,0,193,147,9853,77685,9927,9297
"mmm","glm",10000,25,0.1,8,2,0.175,0.9,0,12,332,103,9885,10825,6112,4713
"mmm","glm",10000,50,0.1,8,2,0.175,0.9,0,0,587,217,9783,17922,9265,8657
"mmm","glm",10000,100,0.1,8,2,0.175,0.9,0,0,842,292,9708,19944,9991,9953
"mmm","glm",10000,25,0.1,2,8,0.175,0.9,0,2,71,51,9947,43840,7081,3573
"mmm","glm",10000,50,0.1,2,8,0.175,0.9,0,0,169,132,9868,71360,9577,7875
"mmm","glm",10000,100,0.1,2,8,0.175,0.9,0,0,175,132,9868,79822,9993,9932
"mmm","glm",10000,25,0.1,8,2,0.2,0.9,0,7,310,104,9889,14286,7706,6580
"mmm","glm",10000,50,0.1,8,2,0.2,0.9,0,0,646,221,9779,19438,9812,9626
"mmm","glm",10000,100,0.1,8,2,0.2,0.9,0,0,767,286,9714,19999,10000,9999
"mmm","glm",10000,25,0.1,2,8,0.2,0.9,0,0,80,56,9944,57218,8460,5473
"mmm","glm",10000,50,0.1,2,8,0.2,0.9,0,0,159,116,9884,77650,9917,9316
"mmm","glm",10000,100,0.1,2,8,0.2,0.9,0,0,180,135,9865,79987,10000,9995
