"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"102","mmm","glm",5000,100,0.1,2,8,0.175,0.5,0,0,49,46,4954,39765,5000,4817
"103","mmm","glm",5000,25,0.1,8,2,0.2,0.5,0,0,64,51,4949,6034,3819,2215
"104","mmm","glm",5000,50,0.1,8,2,0.2,0.5,0,0,114,101,4899,9490,4937,4553
"105","mmm","glm",5000,100,0.1,8,2,0.2,0.5,0,0,162,129,4871,9996,5000,4996
"106","mmm","glm",5000,25,0.1,2,8,0.2,0.5,0,0,20,20,4980,23415,4644,800
"107","mmm","glm",5000,50,0.1,2,8,0.2,0.5,0,0,31,30,4970,37902,4998,3857
"108","mmm","glm",5000,100,0.1,2,8,0.2,0.5,0,0,50,48,4952,39981,5000,4985
"109","mmm","glm",5000,25,0.1,8,2,0.001,0.9,0,0,159,62,4938,51,36,15
"110","mmm","glm",5000,50,0.1,8,2,0.001,0.9,0,0,256,91,4909,80,62,18
"111","mmm","glm",5000,100,0.1,8,2,0.001,0.9,0,0,337,138,4862,96,72,24
"112","mmm","glm",5000,25,0.1,2,8,0.001,0.9,0,0,49,33,4967,167,55,2
"113","mmm","glm",5000,50,0.1,2,8,0.001,0.9,0,0,50,39,4961,295,103,7
"114","mmm","glm",5000,100,0.1,2,8,0.001,0.9,0,0,95,69,4931,331,120,8
"115","mmm","glm",5000,25,0.1,8,2,0.025,0.9,0,0,210,66,4934,94,67,27
"116","mmm","glm",5000,50,0.1,8,2,0.025,0.9,0,0,322,105,4895,155,113,42
"117","mmm","glm",5000,100,0.1,8,2,0.025,0.9,0,0,402,127,4873,290,196,94
"118","mmm","glm",5000,25,0.1,2,8,0.025,0.9,0,0,44,35,4965,408,122,10
"119","mmm","glm",5000,50,0.1,2,8,0.025,0.9,0,0,73,55,4945,701,223,16
"120","mmm","glm",5000,100,0.1,2,8,0.025,0.9,0,0,83,68,4932,914,296,21
"121","mmm","glm",5000,25,0.1,8,2,0.05,0.9,0,0,169,55,4945,218,150,68
"122","mmm","glm",5000,50,0.1,8,2,0.05,0.9,0,0,305,102,4898,406,282,124
"123","mmm","glm",5000,100,0.1,8,2,0.05,0.9,0,0,380,132,4868,943,621,322
"124","mmm","glm",5000,25,0.1,2,8,0.05,0.9,0,0,36,26,4974,871,242,32
"125","mmm","glm",5000,50,0.1,2,8,0.05,0.9,0,0,80,61,4939,1764,463,69
"126","mmm","glm",5000,100,0.1,2,8,0.05,0.9,0,0,83,55,4945,3863,908,178
"127","mmm","glm",5000,25,0.1,8,2,0.075,0.9,0,0,192,63,4937,484,326,158
"128","mmm","glm",5000,50,0.1,8,2,0.075,0.9,0,0,279,93,4907,1130,734,396
"129","mmm","glm",5000,100,0.1,8,2,0.075,0.9,0,0,418,129,4871,2780,1660,1120
"130","mmm","glm",5000,25,0.1,2,8,0.075,0.9,0,0,37,28,4972,1807,472,64
"131","mmm","glm",5000,50,0.1,2,8,0.075,0.9,0,0,88,62,4938,4614,1067,211
