"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"9960","bt","glm",16,0.5,3,50,0.5,0,0,1,1
"9961","bt","glm",16,0.01,5,50,0.5,0,0,0,0
"9962","bt","glm",16,0.0625,5,50,0.5,0,0,0,0
"9963","bt","glm",16,0.125,5,50,0.5,0,0,0,0
"9964","bt","glm",16,0.25,5,50,0.5,0,0,0,0
"9965","bt","glm",16,0.375,5,50,0.5,0,0,1,2
"9966","bt","glm",16,0.5,5,50,0.5,0,0,0,0
"9967","bt","glm",16,0.01,10,50,0.5,0,0,0,0
"9968","bt","glm",16,0.0625,10,50,0.5,0,0,1,1
"9969","bt","glm",16,0.125,10,50,0.5,0,0,0,0
"9970","bt","glm",16,0.25,10,50,0.5,0,0,1,1
"9971","bt","glm",16,0.375,10,50,0.5,0,0,1,1
"9972","bt","glm",16,0.5,10,50,0.5,0,0,2,2
"9973","bt","glm",16,0.01,3,100,0.5,0,0,2,2
"9974","bt","glm",16,0.0625,3,100,0.5,0,0,1,1
"9975","bt","glm",16,0.125,3,100,0.5,0,0,0,0
"9976","bt","glm",16,0.25,3,100,0.5,0,0,1,1
"9977","bt","glm",16,0.375,3,100,0.5,0,0,1,1
"9978","bt","glm",16,0.5,3,100,0.5,0,0,2,3
"9979","bt","glm",16,0.01,5,100,0.5,0,0,0,0
"9980","bt","glm",16,0.0625,5,100,0.5,0,0,0,0
"9981","bt","glm",16,0.125,5,100,0.5,0,0,2,2
"9982","bt","glm",16,0.25,5,100,0.5,0,0,2,2
"9983","bt","glm",16,0.375,5,100,0.5,0,0,0,0
"9984","bt","glm",16,0.5,5,100,0.5,0,0,2,2
"9985","bt","glm",16,0.01,10,100,0.5,0,0,0,0
"9986","bt","glm",16,0.0625,10,100,0.5,0,0,1,1
"9987","bt","glm",16,0.125,10,100,0.5,0,0,1,1
"9988","bt","glm",16,0.25,10,100,0.5,0,0,2,2
"9989","bt","glm",16,0.375,10,100,0.5,0,0,0,0
"9990","bt","glm",16,0.5,10,100,0.5,0,0,1,2
"9991","bt","glm",16,0.01,3,25,0.9,0,0,0,0
"9992","bt","glm",16,0.0625,3,25,0.9,0,0,3,5
"9993","bt","glm",16,0.125,3,25,0.9,0,0,0,0
"9994","bt","glm",16,0.25,3,25,0.9,0,0,0,0
"9995","bt","glm",16,0.375,3,25,0.9,0,0,1,1
"9996","bt","glm",16,0.5,3,25,0.9,0,0,0,0
"9997","bt","glm",16,0.01,5,25,0.9,0,0,0,0
"9998","bt","glm",16,0.0625,5,25,0.9,0,0,2,4
"9999","bt","glm",16,0.125,5,25,0.9,0,0,0,0
"10000","bt","glm",16,0.25,5,25,0.9,0,0,1,1
"10001","bt","glm",16,0.375,5,25,0.9,0,0,0,0
"10002","bt","glm",16,0.5,5,25,0.9,0,0,1,1
"10003","bt","glm",16,0.01,10,25,0.9,0,0,0,0
"10004","bt","glm",16,0.0625,10,25,0.9,0,0,1,2
"10005","bt","glm",16,0.125,10,25,0.9,0,0,1,2
"10006","bt","glm",16,0.25,10,25,0.9,0,0,1,10
"10007","bt","glm",16,0.375,10,25,0.9,0,0,0,0
"10008","bt","glm",16,0.5,10,25,0.9,0,0,2,10
"10009","bt","glm",16,0.01,3,50,0.9,0,0,1,1
"10010","bt","glm",16,0.0625,3,50,0.9,0,0,1,1
"10011","bt","glm",16,0.125,3,50,0.9,0,0,0,0
"10012","bt","glm",16,0.25,3,50,0.9,0,0,0,0
"10013","bt","glm",16,0.375,3,50,0.9,0,0,0,0
"10014","bt","glm",16,0.5,3,50,0.9,0,0,2,3
"10015","bt","glm",16,0.01,5,50,0.9,0,0,1,5
"10016","bt","glm",16,0.0625,5,50,0.9,0,0,2,9
"10017","bt","glm",16,0.125,5,50,0.9,0,0,0,0
"10018","bt","glm",16,0.25,5,50,0.9,0,0,0,0
"10019","bt","glm",16,0.375,5,50,0.9,0,0,0,0
"10020","bt","glm",16,0.5,5,50,0.9,0,0,1,3
"10021","bt","glm",16,0.01,10,50,0.9,0,0,0,0
"10022","bt","glm",16,0.0625,10,50,0.9,0,0,0,0
"10023","bt","glm",16,0.125,10,50,0.9,0,0,0,0
"10024","bt","glm",16,0.25,10,50,0.9,0,0,2,3
"10025","bt","glm",16,0.375,10,50,0.9,0,0,1,9
"10026","bt","glm",16,0.5,10,50,0.9,0,0,1,1
"10027","bt","glm",16,0.01,3,100,0.9,0,0,0,0
"10028","bt","glm",16,0.0625,3,100,0.9,0,0,0,0
"10029","bt","glm",16,0.125,3,100,0.9,0,0,0,0
"10030","bt","glm",16,0.25,3,100,0.9,0,0,0,0
"10031","bt","glm",16,0.375,3,100,0.9,0,0,1,2
"10032","bt","glm",16,0.5,3,100,0.9,0,0,0,0
"10033","bt","glm",16,0.01,5,100,0.9,0,0,0,0
"10034","bt","glm",16,0.0625,5,100,0.9,0,0,0,0
"10035","bt","glm",16,0.125,5,100,0.9,0,0,1,5
"10036","bt","glm",16,0.25,5,100,0.9,0,0,1,4
"10037","bt","glm",16,0.375,5,100,0.9,0,0,1,1
"10038","bt","glm",16,0.5,5,100,0.9,0,0,2,3
"10039","bt","glm",16,0.01,10,100,0.9,0,0,1,1
"10040","bt","glm",16,0.0625,10,100,0.9,0,0,1,1
"10041","bt","glm",16,0.125,10,100,0.9,0,0,2,7
"10042","bt","glm",16,0.25,10,100,0.9,0,0,1,6
"10043","bt","glm",16,0.375,10,100,0.9,0,0,0,0
"10044","bt","glm",16,0.5,10,100,0.9,0,0,0,0
"10045","bt","glm",16,0.01,3,25,0,0,0,0,0
"10046","bt","glm",16,0.0625,3,25,0,0,0,0,0
"10047","bt","glm",16,0.125,3,25,0,0,0,1,1
"10048","bt","glm",16,0.25,3,25,0,0,0,1,1
"10049","bt","glm",16,0.375,3,25,0,0,0,0,0
"10050","bt","glm",16,0.5,3,25,0,0,0,2,2
"10051","bt","glm",16,0.01,5,25,0,0,0,0,0
"10052","bt","glm",16,0.0625,5,25,0,0,0,1,1
"10053","bt","glm",16,0.125,5,25,0,0,0,1,1
"10054","bt","glm",16,0.25,5,25,0,0,0,0,0
"10055","bt","glm",16,0.375,5,25,0,0,0,0,0
"10056","bt","glm",16,0.5,5,25,0,0,0,2,2
"10057","bt","glm",16,0.01,10,25,0,0,0,1,1
"10058","bt","glm",16,0.0625,10,25,0,0,0,2,2
"10059","bt","glm",16,0.125,10,25,0,0,0,1,1
"10060","bt","glm",16,0.25,10,25,0,0,0,1,1
"10061","bt","glm",16,0.375,10,25,0,0,0,1,1
"10062","bt","glm",16,0.5,10,25,0,0,0,0,0
"10063","bt","glm",16,0.01,3,50,0,0,0,0,0
"10064","bt","glm",16,0.0625,3,50,0,0,0,0,0
"10065","bt","glm",16,0.125,3,50,0,0,0,1,1
"10066","bt","glm",16,0.25,3,50,0,0,0,0,0
"10067","bt","glm",16,0.375,3,50,0,0,0,0,0
"10068","bt","glm",16,0.5,3,50,0,0,0,1,1
"10069","bt","glm",16,0.01,5,50,0,0,0,0,0
"10070","bt","glm",16,0.0625,5,50,0,0,0,0,0
