"method","model","pis","nresp","ntrt","corr","nsim","percent","percenti","pererror","perfail","N","J","cor"
"mmm","glm",0.25,5,25,0.9,10000,0.1059,0.0433,0,0,100,5,0.9
"mmm","glm",0.25,5,50,0,10000,0.0426,0.042,0,0,200,5,0
"mmm","glm",0.25,5,50,0.5,10000,0.0579,0.0483,0,0,200,5,0.5
"mmm","glm",0.25,5,50,0.9,10000,0.1084,0.0474,0,0,200,5,0.9
"mmm","glm",0.25,5,100,0,10000,0.0461,0.0456,0,0,400,5,0
"mmm","glm",0.25,5,100,0.5,10000,0.058,0.0484,0,0,400,5,0.5
"mmm","glm",0.25,5,100,0.9,10000,0.1128,0.0483,0,0,400,5,0.9
"mmm","glm",0.25,10,25,0,10000,0.0284,0.028,0,0,100,10,0
"mmm","glm",0.25,10,25,0.5,10000,0.0483,0.037,0,0,100,10,0.5
"mmm","glm",0.25,10,25,0.9,10000,0.1374,0.0406,0,0,100,10,0.9
"mmm","glm",0.25,10,50,0,10000,0.0413,0.0403,0,0,200,10,0
"mmm","glm",0.25,10,50,0.5,10000,0.0593,0.0448,0,0,200,10,0.5
"mmm","glm",0.25,10,50,0.9,10000,0.151,0.0462,0,0,200,10,0.9
"mmm","glm",0.25,10,100,0,10000,0.0445,0.0434,0,0,400,10,0
"mmm","glm",0.25,10,100,0.5,10000,0.0586,0.0449,0,0,400,10,0.5
"mmm","glm",0.25,10,100,0.9,10000,0.1612,0.0489,0,0,400,10,0.9
"mmm","glm",0.375,3,25,0,10000,0.0402,0.0396,0,0,100,3,0
"mmm","glm",0.375,3,25,0.5,10000,0.0524,0.0472,0,0,100,3,0.5
"mmm","glm",0.375,3,25,0.9,10000,0.0856,0.0474,0,0,100,3,0.9
"mmm","glm",0.375,3,50,0,10000,0.0473,0.0469,0,0,200,3,0
"mmm","glm",0.375,3,50,0.5,10000,0.0554,0.0506,0,0,200,3,0.5
"mmm","glm",0.375,3,50,0.9,10000,0.0833,0.0476,0,0,200,3,0.9
"mmm","glm",0.375,3,100,0,10000,0.0501,0.0494,0,0,400,3,0
"mmm","glm",0.375,3,100,0.5,10000,0.0565,0.0496,0,0,400,3,0.5
"mmm","glm",0.375,3,100,0.9,10000,0.0885,0.0496,0,0,400,3,0.9
"mmm","glm",0.375,5,25,0,10000,0.0405,0.0401,0,0,100,5,0
"mmm","glm",0.375,5,25,0.5,10000,0.0536,0.0453,0,0,100,5,0.5
"mmm","glm",0.375,5,25,0.9,10000,0.1117,0.0459,0,0,100,5,0.9
"mmm","glm",0.375,5,50,0,10000,0.0484,0.047,0,0,200,5,0
"mmm","glm",0.375,5,50,0.5,10000,0.054,0.0468,0,0,200,5,0.5
"mmm","glm",0.375,5,50,0.9,10000,0.1031,0.0453,0,0,200,5,0.9
"mmm","glm",0.375,5,100,0,10000,0.0463,0.0458,0,0,400,5,0
"mmm","glm",0.375,5,100,0.5,10000,0.0561,0.0478,0,0,400,5,0.5
"mmm","glm",0.375,5,100,0.9,10000,0.1014,0.0455,0,0,400,5,0.9
"mmm","glm",0.375,10,25,0,10000,0.0393,0.0384,0,0,100,10,0
"mmm","glm",0.375,10,25,0.5,10000,0.0486,0.0385,0,0,100,10,0.5
"mmm","glm",0.375,10,25,0.9,10000,0.1552,0.0446,0,0,100,10,0.9
"mmm","glm",0.375,10,50,0,10000,0.0413,0.0407,0,0,200,10,0
"mmm","glm",0.375,10,50,0.5,10000,0.0554,0.0434,0,0,200,10,0.5
"mmm","glm",0.375,10,50,0.9,10000,0.1617,0.0477,0,0,200,10,0.9
"mmm","glm",0.375,10,100,0,10000,0.0475,0.0465,0,0,400,10,0
"mmm","glm",0.375,10,100,0.5,10000,0.0625,0.0457,0,0,400,10,0.5
"mmm","glm",0.375,10,100,0.9,10000,0.1604,0.0468,0,0,400,10,0.9
"mmm","glm",0.5,3,25,0,10000,0.044,0.0435,0,0,100,3,0
"mmm","glm",0.5,3,25,0.5,10000,0.0486,0.0448,0,0,100,3,0.5
"mmm","glm",0.5,3,25,0.9,10000,0.0825,0.0452,0,0,100,3,0.9
"mmm","glm",0.5,3,50,0,10000,0.0465,0.046,0,0,200,3,0
"mmm","glm",0.5,3,50,0.5,10000,0.056,0.0493,0,0,200,3,0.5
"mmm","glm",0.5,3,50,0.9,10000,0.0826,0.0473,0,0,200,3,0.9
"mmm","glm",0.5,3,100,0,10000,0.052,0.0511,0,0,400,3,0
"mmm","glm",0.5,3,100,0.5,10000,0.0538,0.0482,0,0,400,3,0.5
"mmm","glm",0.5,3,100,0.9,10000,0.0942,0.0541,0,0,400,3,0.9
"mmm","glm",0.5,5,25,0,10000,0.0435,0.0429,0,0,100,5,0
"mmm","glm",0.5,5,25,0.5,10000,0.0509,0.0423,0,0,100,5,0.5
"mmm","glm",0.5,5,25,0.9,10000,0.1129,0.0479,0,0,100,5,0.9
"mmm","glm",0.5,5,50,0,10000,0.0456,0.0444,0,0,200,5,0
"mmm","glm",0.5,5,50,0.5,10000,0.0578,0.0483,0,0,200,5,0.5
"mmm","glm",0.5,5,50,0.9,10000,0.11,0.0479,0,0,200,5,0.9
"mmm","glm",0.5,5,100,0,10000,0.0492,0.0486,0,0,400,5,0
"mmm","glm",0.5,5,100,0.5,10000,0.0562,0.0476,0,0,400,5,0.5
"mmm","glm",0.5,5,100,0.9,10000,0.1202,0.051,0,0,400,5,0.9
"mmm","glm",0.5,10,25,0,10000,0.039,0.0384,0,0,100,10,0
